Date,Open,High,Low,Close,Adj Close,Volume
2015-02-12,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-13,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-18,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-19,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-20,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-23,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-24,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-25,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-26,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-27,1.275000,1.275000,1.275000,1.275000,1.275000,120
2015-03-02,1.250000,1.250000,1.250000,1.250000,1.250000,600
2015-03-03,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-04,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-05,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-06,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-09,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-10,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-11,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-03-12,1.275000,1.275000,1.275000,1.275000,1.275000,400
2015-03-13,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-16,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-17,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-18,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-19,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-20,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-23,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-24,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-25,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-26,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-27,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-30,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-03-31,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-01,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-02,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-06,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-07,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-08,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-09,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-10,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-13,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-14,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-15,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-16,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-17,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-20,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-22,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-23,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-24,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-27,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-28,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-29,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-04-30,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-04,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-05,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-06,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-07,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-08,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-11,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-12,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-13,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-14,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-15,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-18,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-19,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-20,1.275000,1.275000,1.275000,1.275000,1.275000,0
2015-05-21,1.200000,1.200000,1.200000,1.200000,1.200000,400
2015-05-22,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-05-25,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-05-26,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-05-27,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-05-28,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-05-29,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-01,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-02,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-03,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-05,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-08,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-09,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-10,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-11,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-12,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-15,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-16,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-17,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-18,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-19,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-22,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-23,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-24,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-25,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-26,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-29,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-06-30,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-01,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-02,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-03,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-06,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-07,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-08,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-10,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-13,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-14,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-15,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-16,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-17,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-20,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-21,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-22,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-23,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-24,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-27,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-28,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-29,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-30,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-07-31,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-03,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-04,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-05,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-06,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-07,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-10,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-11,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-12,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-13,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-14,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-17,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-18,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-19,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-20,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-21,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-24,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-25,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-26,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-27,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-28,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-31,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-01,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-02,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-03,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-04,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-08,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-09,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-10,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-11,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-14,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-15,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-16,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-17,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-18,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-21,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-22,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-23,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-24,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-25,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-28,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-29,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-09-30,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-10-01,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-10-02,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-10-05,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-10-06,1.500000,1.500000,1.500000,1.500000,1.500000,800
2015-10-07,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-10-08,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-10-09,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-10-13,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-10-14,1.975000,2.475000,1.975000,2.150000,2.150000,1680
2015-10-15,2.150000,2.150000,2.150000,2.150000,2.150000,0
2015-10-16,2.150000,2.150000,2.150000,2.150000,2.150000,0
2015-10-19,2.150000,2.150000,2.150000,2.150000,2.150000,0
2015-10-20,1.375000,1.375000,1.375000,1.375000,1.375000,600
2015-10-21,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-10-22,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-10-23,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-10-26,2.000000,2.000000,2.000000,2.000000,2.000000,80
2015-10-27,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-10-28,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-10-29,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-10-30,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-03,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-04,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-05,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-06,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-09,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-10,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-11,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-12,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-13,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-16,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-17,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-18,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-19,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-23,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-24,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-25,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-26,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-27,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-11-30,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-01,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-02,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-03,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-04,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-07,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-09,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-10,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-11,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-15,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-16,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-17,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-18,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-21,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-22,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-23,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-28,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-29,2.000000,2.000000,2.000000,2.000000,2.000000,0
2015-12-30,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-04,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-05,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-06,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-07,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-11,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-12,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-13,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-15,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-18,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-19,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-20,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-21,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-01-22,1.650000,1.650000,1.650000,1.650000,1.650000,320
2016-01-26,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-01-27,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-01-28,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-01-29,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-01,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-02,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-03,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-04,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-05,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-10,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-11,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-12,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-15,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-16,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-17,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-18,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-19,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-02-22,1.375000,1.500000,1.375000,1.500000,1.500000,640
2016-02-23,1.875000,2.150000,1.875000,2.150000,2.150000,720
2016-02-24,2.150000,2.150000,2.150000,2.150000,2.150000,0
2016-02-25,2.150000,2.150000,2.150000,2.150000,2.150000,0
2016-02-26,1.525000,1.525000,1.125000,1.125000,1.125000,80
2016-02-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-02,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-03,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-07,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-09,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-10,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-11,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-14,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-16,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-17,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-21,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-24,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-28,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-03-31,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-07,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-11,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-12,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-13,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-14,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-20,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-25,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-26,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-27,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-28,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-04-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-02,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-03,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-09,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-10,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-11,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-12,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-13,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-16,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-17,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-20,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-24,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-25,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-27,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-05-31,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-02,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-03,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-07,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-09,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-10,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-13,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-14,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-16,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-17,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-20,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-21,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-24,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-27,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-28,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-06-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-07,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-11,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-12,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-13,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-14,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-20,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-21,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-25,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-26,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-27,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-28,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-07-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-02,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-03,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-09,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-10,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-11,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-12,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-16,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-17,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-24,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-25,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-26,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-08-31,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-02,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-08,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-09,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-12,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-13,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-14,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-15,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-16,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-20,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-21,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-26,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-27,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-28,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-03,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-04,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-05,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-06,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-07,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-10,1.125000,1.125000,1.125000,1.125000,1.125000,0
